mean_reward,mean_cost,mean_res_wasted,mean_length,time,training_iteration,trial_id,done,config/name,config/class,config/seed,config/verbose,config/train_episodes,config/eval_episodes,config/sac_params/policy,config/sac_params/learning_rate,config/sac_params/gamma,config/sac_params/ent_coef,config/sac_params/gradient_steps,config/sac_params/buffer_size,config/sac_params/batch_size,config/sac_params/tau,config/sac_params/target_update_interval,config/sac_params/learning_starts,config/sac_params/train_freq,config/sac_params/target_entropy,config/sac_params/use_sde,config/sac_params/sde_sample_freq,config/sac_params/use_sde_at_warmup,config/sac_params/action_noise,config/sac_params/optimizer,config/sac_params/activation_fn,config/sac_params/num_units_layer,config/sac_params/num_hidden_layers,config/gnn_params/in_channels,config/gnn_params/hidden_channels,config/gnn_params/num_layers,config/gnn_params/out_channels,config/gnn_params/dropout,config/gnn_params/act,config/gnn_params/act_first,config/gnn_params/act_kwargs,config/gnn_params/norm,config/gnn_params/norm_kwargs,config/gnn_params/jk,config/gnn_params/aggr,config/gnn_params/aggr_kwargs,config/gnn_params/flow,config/gnn_params/decomposed_layers,config/gnn_params/heads,config/gnn_params/v2,config/gnn_params/concat,config/gnn_params/negative_slope,config/gnn_params/add_self_loops,config/gnn_params/edge_dim,config/gnn_params/fill_value,config/gnn_params/bias,config/env_params/env_path,config/env_params/reward,config/env_params/obs_scaled,config/env_params/obs_step,config/env_params/act_no_curtail,config/env_params/act_limit_inf,config/env_params/climit_type,config/env_params/climit_end,config/env_params/climit_low,config/env_params/climit_factor,logdir
71.99561405529579,543896.2174348212,4590.009154668355,493.82666666666665,479.7335960865021,1,ed91d_00000,True,gat_sac/gnn_tune,<class 'grl.model.sac.GAT_SAC'>,123433334,1,3000,300,MultiInputPolicy,0.0001,0.85,auto,1,1000000,256,0.001,1,1000,1,auto,False,-1,False,,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,6,18,2,6,0.1,relu,True,,,,,sum,,source_to_target,1,1,False,True,0.2,True,,mean,True,l2rpn_icaps_2021_large,<grl.environment.reward.res_penalty_reward.RESPenaltyReward object at 0x7f71d50b0050>,False,True,False,True,sqrt,2400,0.4,3,ed91d_00000
88.76834030171236,565936.0927231146,7250.759486610492,611.4033333333333,571.928882598877,1,ed91d_00001,True,gat_sac/gnn_tune,<class 'grl.model.sac.GAT_SAC'>,123433334,1,3000,300,MultiInputPolicy,0.0001,0.85,auto,1,1000000,256,0.001,1,1000,1,auto,False,-1,False,,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,6,18,2,6,0.1,relu,True,,,,,sum,,source_to_target,1,2,False,True,0.2,True,,mean,True,l2rpn_icaps_2021_large,<grl.environment.reward.res_penalty_reward.RESPenaltyReward object at 0x7f71d50b0050>,False,True,False,True,sqrt,2400,0.4,3,ed91d_00001
75.35344649292529,578969.3166393925,5335.204216049171,316.0366666666667,340.2449893951416,1,ed91d_00002,True,gat_sac/gnn_tune,<class 'grl.model.sac.GAT_SAC'>,123433334,1,3000,300,MultiInputPolicy,0.0001,0.85,auto,1,1000000,256,0.001,1,1000,1,auto,False,-1,False,,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,6,18,2,6,0.1,relu,True,,,,,sum,,source_to_target,1,3,False,True,0.2,True,,mean,True,l2rpn_icaps_2021_large,<grl.environment.reward.res_penalty_reward.RESPenaltyReward object at 0x7f71d50b0050>,False,True,False,True,sqrt,2400,0.4,3,ed91d_00002
70.5717013888061,568212.0328699296,7496.513987523842,405.58666666666664,410.7942123413086,1,ed91d_00003,True,gat_sac/gnn_tune,<class 'grl.model.sac.GAT_SAC'>,123433334,1,3000,300,MultiInputPolicy,0.0001,0.85,auto,1,1000000,256,0.001,1,1000,1,auto,False,-1,False,,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,6,18,2,6,0.1,relu,True,,,,,sum,,source_to_target,1,1,True,True,0.2,True,,mean,True,l2rpn_icaps_2021_large,<grl.environment.reward.res_penalty_reward.RESPenaltyReward object at 0x7f71d50b0050>,False,True,False,True,sqrt,2400,0.4,3,ed91d_00003
92.50271762639284,562035.6639332542,7349.15261927796,650.3733333333333,625.3641359806061,1,ed91d_00004,True,gat_sac/gnn_tune,<class 'grl.model.sac.GAT_SAC'>,123433334,1,3000,300,MultiInputPolicy,0.0001,0.85,auto,1,1000000,256,0.001,1,1000,1,auto,False,-1,False,,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,6,18,2,6,0.1,relu,True,,,,,sum,,source_to_target,1,2,True,True,0.2,True,,mean,True,l2rpn_icaps_2021_large,<grl.environment.reward.res_penalty_reward.RESPenaltyReward object at 0x7f71d50b0050>,False,True,False,True,sqrt,2400,0.4,3,ed91d_00004
116.1490851973494,574232.7360933417,8371.551230691693,530.9,519.5955142974854,1,ed91d_00005,True,gat_sac/gnn_tune,<class 'grl.model.sac.GAT_SAC'>,123433334,1,3000,300,MultiInputPolicy,0.0001,0.85,auto,1,1000000,256,0.001,1,1000,1,auto,False,-1,False,,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,6,18,2,6,0.1,relu,True,,,,,sum,,source_to_target,1,3,True,True,0.2,True,,mean,True,l2rpn_icaps_2021_large,<grl.environment.reward.res_penalty_reward.RESPenaltyReward object at 0x7f71d50b0050>,False,True,False,True,sqrt,2400,0.4,3,ed91d_00005
76.94039680590232,574402.2649455428,8366.626083936093,522.2966666666666,499.10589051246643,1,ed91d_00006,True,gat_sac/gnn_tune,<class 'grl.model.sac.GAT_SAC'>,123433334,1,3000,300,MultiInputPolicy,0.0001,0.85,auto,1,1000000,256,0.001,1,1000,1,auto,False,-1,False,,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,6,18,2,6,0.1,relu,True,,,,,sum,,source_to_target,1,1,False,True,0.2,True,,mean,True,l2rpn_icaps_2021_large,<grl.environment.reward.res_penalty_reward.RESPenaltyReward object at 0x7f71d50b0050>,False,True,False,True,sqrt,2400,0.4,3,ed91d_00006
79.79093824724356,552375.1517252825,6020.041875403123,618.38,586.242015838623,1,ed91d_00007,True,gat_sac/gnn_tune,<class 'grl.model.sac.GAT_SAC'>,123433334,1,3000,300,MultiInputPolicy,0.0001,0.85,auto,1,1000000,256,0.001,1,1000,1,auto,False,-1,False,,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,6,18,2,6,0.1,relu,True,,,,,sum,,source_to_target,1,2,False,True,0.2,True,,mean,True,l2rpn_icaps_2021_large,<grl.environment.reward.res_penalty_reward.RESPenaltyReward object at 0x7f71d50b0050>,False,True,False,True,sqrt,2400,0.4,3,ed91d_00007
80.03246767560641,556860.3779158184,6723.434507340959,579.84,548.0543742179871,1,ed91d_00008,True,gat_sac/gnn_tune,<class 'grl.model.sac.GAT_SAC'>,123433334,1,3000,300,MultiInputPolicy,0.0001,0.85,auto,1,1000000,256,0.001,1,1000,1,auto,False,-1,False,,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,6,18,2,6,0.1,relu,True,,,,,sum,,source_to_target,1,3,False,True,0.2,True,,mean,True,l2rpn_icaps_2021_large,<grl.environment.reward.res_penalty_reward.RESPenaltyReward object at 0x7f71d50b0050>,False,True,False,True,sqrt,2400,0.4,3,ed91d_00008
94.4608266166846,571177.1501530367,6785.3729527505875,594.5733333333334,577.8026096820831,1,ed91d_00009,True,gat_sac/gnn_tune,<class 'grl.model.sac.GAT_SAC'>,123433334,1,3000,300,MultiInputPolicy,0.0001,0.85,auto,1,1000000,256,0.001,1,1000,1,auto,False,-1,False,,<class 'torch.optim.adam.Adam'>,<class 'torch.nn.modules.activation.ReLU'>,128,6,6,18,2,6,0.1,relu,True,,,,,sum,,source_to_target,1,1,True,True,0.2,True,,mean,True,l2rpn_icaps_2021_large,<grl.environment.reward.res_penalty_reward.RESPenaltyReward object at 0x7f71d50b0050>,False,True,False,True,sqrt,2400,0.4,3,ed91d_00009
